occurrenceID,plotCode,area,plateNumber,subplot,treeNumber,branchNumber,vernacularName,scientificName,x,y,dbh,TH,TBCP,TBCU,TBCD,TBHP,CBP,S1_death,S2_death,S3_death
35A22E00-3657-4099-A8C0-4E8FD39DB1F2,DJ-01,核心區,15489,1,1,1,臺灣二葉松,Pinus taiwanensis,485,380,22.5,6,100,6,6,100,60,1,1,1
EADAAB73-65FF-495E-A9EA-331A56EDD5F1,DJ-01,核心區,15490,1,1,2,臺灣二葉松,Pinus taiwanensis,485,380,11.5,4,100,4,4,100,40,1,1,1
61D28ED9-E97A-4CE7-8BDE-18A429562524,DJ-01,核心區,15491,1,1,3,臺灣二葉松,Pinus taiwanensis,485,380,7.5,3.5,100,3.5,3.5,100,100,1,1,1
96C1AD97-A4F5-49FF-987C-6DEC28171274,DJ-01,核心區,15495,1,2,1,刺柏,Juniperus formosana,360,170,11.3,1.4,70,1.4,1.4,100,100,1,1,1
249071AC-2233-4035-AF8B-6B09673D4930,DJ-01,核心區,15488,2,1,1,臺灣二葉松,Pinus taiwanensis,450,540,35,8,100,8,8,100,60,1,1,1
1495CB74-ECB8-4173-B0CA-0F758BAE4684,DJ-01,核心區,15487,2,1,2,臺灣二葉松,Pinus taiwanensis,450,540,6.5,0.85,100,0.85,0.85,100,100,1,1,1
A5A52610-FB54-4147-BB85-1329B46EDE5E,DJ-01,核心區,15486,2,1,3,臺灣二葉松,Pinus taiwanensis,450,540,7.1,3.5,100,3.5,3.5,100,100,1,1,1
027F92A6-C4B5-4B34-996E-8AF5AB535E89,DJ-01,核心區,15493,2,1,4,臺灣二葉松,Pinus taiwanensis,450,540,11.5,4,100,4,4,100,100,1,1,1
FB95CA62-E23B-4F9F-A6D9-D4039BA762E3,DJ-01,核心區,15481,2,1,5,臺灣二葉松,Pinus taiwanensis,450,540,25,6,100,6,6,100,40,1,1,1
F83C9643-F2C7-4455-9925-FB8022AF7E49,DJ-01,核心區,15470,2,2,1,刺柏,Juniperus formosana,500,745,4,3,100,3,3,100,100,1,1,1
3F15AF97-316B-4AD3-B2A7-FC5FD93645FE,DJ-01,核心區,15471,2,2,2,刺柏,Juniperus formosana,500,745,3,2.5,100,2.5,2.5,100,100,1,1,1
B7B6A812-D298-426D-905F-26AC2A63F2D8,DJ-01,核心區,15458,2,3,1,玉山杜鵑,Rhododendron pseudochrysanthum,310,910,6.7,2.3,98,2.3,2.3,100,100,1,1,1
EDAE6CEF-4B07-4636-A3C8-1104B5B7CF4B,DJ-01,核心區,15462,2,4,1,臺灣二葉松,Pinus taiwanensis,250,970,9,3,100,3,3,100,100,1,1,1
D73BC865-7A86-43A5-BD7A-529776CDC618,DJ-01,核心區,15463,2,4,2,臺灣二葉松,Pinus taiwanensis,250,970,45.2,8,100,8,8,100,65,1,1,1
FC5C1A81-1324-4B37-A56A-23F0C81E156E,DJ-01,核心區,15464,2,4,3,臺灣二葉松,Pinus taiwanensis,250,970,3,1.3,100,1.3,1.3,100,100,1,1,1
D2707AB1-2DCD-4EBF-A130-5B21D80C4BBF,DJ-01,核心區,15465,2,4,4,臺灣二葉松,Pinus taiwanensis,250,970,21,3.5,100,3.5,3.5,100,60,1,1,1
E4F47C9E-9549-4CA5-90F8-8364439CB329,DJ-01,核心區,15466,2,4,5,臺灣二葉松,Pinus taiwanensis,250,970,12,3,80,2,2,66.67,100,1,1,1
FE798A1F-642F-48FD-BEA7-EF48EB3E889A,DJ-01,核心區,15467,2,4,6,臺灣二葉松,Pinus taiwanensis,250,970,10.5,2.5,90,2.5,2.5,100,100,1,1,1
FAEF1E7F-A788-42DC-95BC-C41D95A0783C,DJ-01,核心區,15441,2,5,1,臺灣二葉松,Pinus taiwanensis,70,970,7.5,5,100,5,5,100,95,1,1,1
1147BD27-38E0-4FF9-A1A8-F51132BB210C,DJ-01,核心區,15442,2,6,1,臺灣二葉松,Pinus taiwanensis,0,870,12,6,100,6,6,100,60,1,1,1
F2B865A4-C7A1-4F02-9D29-E04B8E542CD6,DJ-01,核心區,15443,2,7,1,玉山杜鵑,Rhododendron pseudochrysanthum,310,970,3.5,2.5,50,0.8,0.8,32,100,1,1,1
603C1F74-D909-4BFA-9227-97B4C4DF4A47,DJ-01,核心區,15444,2,7,2,玉山杜鵑,Rhododendron pseudochrysanthum,310,970,4,3,60,0.8,0.8,26.67,100,1,1,1
5C51E8FE-2D88-4D8F-91AC-612880183ADA,DJ-01,核心區,15440,3,1,1,刺柏,Juniperus formosana,640,950,4.5,2.5,100,2.5,2.5,100,100,1,1,1
51B83CC9-6F45-4336-BDDC-F1A8C9CCA073,DJ-01,核心區,15457,3,2,1,刺柏,Juniperus formosana,710,850,2.2,2.5,100,2.5,2.5,100,100,1,1,1
8E3F75E6-F615-489B-AA10-94EB4664303A,DJ-01,核心區,15473,3,3,1,刺柏,Juniperus formosana,590,640,4.7,3,100,3,3,100,100,1,1,1
5D50D9E6-7940-41FE-847C-6596A55C7812,DJ-01,核心區,15472,3,3,2,刺柏,Juniperus formosana,590,640,3,2,100,2,2,100,100,1,1,1
70250E2E-66CD-42DC-ADF7-9EA74F2C46F4,DJ-01,核心區,15494,3,4,1,玉山杜鵑,Rhododendron pseudochrysanthum,550,600,3.5,2.5,100,1.5,0.5,40,100,1,1,1
BB22A3DF-4B0B-4DAC-A9CB-62E92034D838,DJ-01,核心區,15482,3,5,1,刺柏,Juniperus formosana,960,530,5.2,2.5,100,2.5,2.5,100,100,1,1,1
D067D892-2FE0-40BB-9DC6-7C821BB54019,DJ-01,核心區,15483,3,5,2,刺柏,Juniperus formosana,960,530,5.7,1.7,100,1.7,1.7,100,100,1,1,1
